ID,Screen,IA,Category,Check,Requirement or Heuristic Source,Preconditions,Test Steps,Expected Result,Status,Actual Result,Notes,Evidence,Bug ID or GitHub Issue
GUI-O-004,Order History,IA-01,Ordering,Newest order is easy to identify,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Account has multiple dated orders,Compare displayed order sequence with dates/IDs,PASS if orders are sorted newest first or sorting is clearly provided; otherwise FAIL,,,,,
GUI-O-005,Order History,IA-01,Currency,Totals use deterministic Vietnamese VND format,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Account has orders with varied totals,Inspect totals across rows and browser locales,PASS if values use Vietnamese thousands separators and ₫ consistently; otherwise FAIL,,,,,
GUI-O-006,Order History,IA-01,Date format,Dates use an unambiguous Vietnamese format,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Account has orders,Inspect dates across browsers/locales,"PASS if day, month, and year are unambiguous and consistent; otherwise FAIL",,,,,
GUI-O-007,Order History,IA-01,Status translation,All five order states have clear Vietnamese labels,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Test data covers pending confirmed shipping delivered canceled,Inspect label for each state,PASS if every backend state maps to the specified Vietnamese meaning; otherwise FAIL,,,,,
GUI-O-008,Order History,IA-01,Status distinction,Order states are visually distinguishable,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Test data covers all states,Compare status badges,PASS if states are consistently distinguishable and remain readable; otherwise FAIL,,,,,
GUI-O-010,Order History,IA-02,Cancel confirmation,Cancel requires explicit confirmation,Nielsen H3/H5; ARIA APG Dialog — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/,Cancelable order exists,Activate Hủy đơn,PASS if a confirmation dialog names the consequence before mutation; otherwise FAIL,,,,,
GUI-O-011,Order History,IA-02,Cancel keyboard,Cancel action is fully keyboard operable,"WCAG 2.2 SC 2.1.1, 2.4.3, 2.4.7, 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Cancelable order exists; keyboard only,Focus and activate cancel; operate confirmation,PASS if action and dialog work without pointer and focus returns logically; otherwise FAIL,,,,,
GUI-O-012,Order History,IA-03,Discoverability,Signed-in user can independently find order history,Nielsen H4/H6; WCAG 2.2 SC 2.4.4 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Logged in on Home,Navigate using visible UI without direct URL,PASS if profile/order history entry is clearly discoverable; otherwise FAIL,,,,,
GUI-O-013,Order History,IA-03,Active navigation,Navigation indicates the current Profile/History location,Nielsen H4/H6; WCAG 2.2 SC 2.4.4 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Open /profile,Inspect navbar state,PASS if current destination is visually and programmatically indicated; otherwise FAIL,,,,,
GUI-O-016,Order History,IA-04,Loading state,Order retrieval shows a clear loading state,Nielsen H1; WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Throttle API response,Open /profile,PASS if a non-blocking loading indicator appears until data resolves; otherwise FAIL,,,,,
GUI-O-018,Order History,IA-01,Color independence,Status meaning does not depend on color alone,"WCAG 2.2 SC 1.4.1, 1.4.3, 1.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Orders in all states,Inspect in grayscale and with screen reader,PASS if readable text communicates every state independently of color; otherwise FAIL,,,,,
GUI-O-019,Order History,IA-01,Table semantics,Table headers are associated with their data cells,WCAG 2.2 SC 1.3.1; ARIA APG Table; GOV.UK Table — https://www.w3.org/WAI/ARIA/apg/patterns/table/ | https://design-system.service.gov.uk/components/table/,Populated history,Inspect accessibility tree and navigate by screen reader,"PASS if table has caption/context, column headers, and correct associations; otherwise FAIL",,,,,
GUI-O-020,Order History,IA-01,Mobile reflow,Order history remains usable at 320 px width,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Populated history; 320×640 viewport,Read all fields and access eligible actions,PASS if table reflows or provides controlled scroll without page-wide clipping; otherwise FAIL,,,,,
GUI-O-021,Order History,IA-01,Text scaling,History remains readable at 200% zoom/text scaling,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Populated history,Set zoom/text to 200% and inspect/operate,"PASS if labels, totals, status, and actions remain visible and usable; otherwise FAIL",,,,,
GUI-O-022,Order History,IA-04,Usability,Order API failure is distinct from a genuine empty history,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Force /api/orders/my-orders failure,Open /profile and retry if offered,PASS if clear error and recovery action appear; empty-state message is not shown; otherwise FAIL,,,,,
GUI-O-024A,Order History,IA-04,Cancel feedback,Cancel action shows timely visible success or failure feedback,Nielsen H1; WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Cancelable order exists,Perform a cancel action once under success conditions and once under failure conditions,PASS if visible feedback clearly communicates success or failure without ambiguity; otherwise FAIL,,,,,
GUI-L-025,Login,IA-02,Error association,Each visible validation error is associated with its input,"WCAG 2.2 SC 1.3.1, 3.3.1; WAI Forms — https://www.w3.org/WAI/tutorials/forms/notifications/",Login page open,Submit each field with invalid or missing input; inspect the accessibility tree and move focus to the field,"PASS if each error is visible, names the affected field, and is programmatically associated with that field; otherwise FAIL",,,,,
GUI-L-026,Login,IA-04,Dynamic error announcement,A dynamically displayed login error is announced without moving focus unexpectedly,WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Screen reader running; credentials produce a visible error,Submit once and listen to the screen reader while observing keyboard focus,PASS if the complete error is announced and focus remains at a logical control; otherwise FAIL,,,,,
GUI-L-027,Login,IA-02,Focus not obscured,Focused login controls are not hidden by other content,WCAG 2.2 SC 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/,Login page open at desktop and 320 px viewport,Tab through every interactive control at both viewports,PASS if every focused control and its focus indicator remain at least partially visible; otherwise FAIL,,,,,
GUI-L-028,Login,IA-01,Text spacing,Login content remains readable with WCAG text-spacing overrides,WCAG 2.2 SC 1.4.12 — https://www.w3.org/WAI/WCAG22/Understanding/,Login page open,"Apply line-height 1.5, paragraph spacing 2em, letter spacing 0.12em, and word spacing 0.16em","PASS if no label, link, input value, error, or button text is clipped or overlaps; otherwise FAIL",,,,,
GUI-L-029,Login,IA-01,Orientation,Login is usable in portrait and landscape orientation,WCAG 2.2 SC 1.3.4 — https://www.w3.org/WAI/WCAG22/Understanding/,Mobile device or equivalent viewport,"Open the page in portrait, rotate to landscape, and complete all form interactions",PASS if the same controls and content remain available and usable in both orientations; otherwise FAIL,,,,,
GUI-L-030,Login,IA-01,Exploratory — dark mode,Login remains readable when browser or OS dark mode is forced,Exploratory — no explicit SUT requirement,Browser or OS forced dark mode available,"Enable forced dark mode; inspect normal, focused, and error states","PASS if all text, controls, focus indicators, and errors remain visible and distinguishable; otherwise FAIL",,,,,
GUI-O-025,Order History,IA-01,Table caption,Order table has a programmatically associated descriptive caption,WCAG 2.2 SC 1.3.1; GOV.UK Table — https://design-system.service.gov.uk/components/table/,Order History contains at least one order,Inspect the table accessibility tree and navigate to the table with a screen reader,PASS if the table exposes a concise accessible caption identifying it as order history; otherwise FAIL,,,,,
GUI-O-026,Order History,IA-01,Reading order,Order information has a logical reading order at desktop and mobile widths,WCAG 2.2 SC 1.3.2 — https://www.w3.org/WAI/WCAG22/Understanding/,Order History contains multiple rows,"Read the table with a screen reader at desktop width, then at 320 px width",PASS if each row is announced in the visible column order without detached or repeated values; otherwise FAIL,,,,,
GUI-O-027,Order History,IA-02,Dialog focus management,Cancel confirmation keeps keyboard focus within the modal until it closes,ARIA APG Dialog — https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/,A visible cancel control opens a modal confirmation,Open the dialog by keyboard; press Tab and Shift+Tab through controls; close with each available method,"PASS if focus enters the dialog, cycles within it, and returns to the invoking control after close; otherwise FAIL",,,,,
GUI-O-028,Order History,IA-01,Localized table scrolling,A wide order table does not cause page-wide horizontal scrolling,WCAG 2.2 SC 1.4.10; GOV.UK Table — https://www.w3.org/WAI/WCAG22/Understanding/ | https://design-system.service.gov.uk/components/table/,Order History populated; viewport 320 CSS px,Scroll vertically and horizontally through the page and table region,PASS if any required horizontal scrolling is confined to the table region and surrounding page content reflows; otherwise FAIL,,,,,
GUI-O-029,Order History,IA-04,Status announcement,A visible order-state change is announced to assistive technology,WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.w3.org/WAI/WCAG22/Understanding/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,An action causes a visible order-state update,Trigger the action once while a screen reader is running,PASS if the updated state or confirmation is announced without requiring focus movement; otherwise FAIL,,,,,
