ID,Screen,IA,Category,Check,Requirement or Heuristic Source,Preconditions,Test Steps,Expected Result,Status,Actual Result,Notes,Evidence,Bug ID or GitHub Issue
GUI-L-011A,Login,IA-02,Empty submission,Empty required fields show visible form validation,"WCAG 2.2 SC 3.3.1, 3.3.3; WAI Forms; GOV.UK Error message — https://www.w3.org/WAI/tutorials/forms/notifications/ | https://design-system.service.gov.uk/components/error-message/",Login page open,Submit without entering values and inspect the visible form response,PASS if visible validation identifies both required fields near their controls; otherwise FAIL,Failed,No two-field visible validation summary/inline messages; detected 0 explicit error elements.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-011A.png,BUG-GUI-004 — https://github.com/ThanhDang-Vn/software-testing/issues/21
GUI-L-013,Login,IA-02,Keyboard order,Tab order follows top-to-bottom reading order,"WCAG 2.2 SC 2.1.1, 2.4.3, 2.4.7, 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Login page open; keyboard only,Press Tab from browser chrome through all controls,"PASS if focus order is Email, Password, Forgot password, Submit, Register; otherwise FAIL",Failed,Observed focus order: EShopGiỏ hàngĐăng nhậpĐăng kýĐăng KýUsernameMật khẩuQuên mật khẩu?Sign InChưa có tài khoản? Đăng ký ngay© 2026 EShop SUT. Dành cho mục đích kiểm thử. → Sign In → EShop → Giỏ hàng → Đăng nhập.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-013.png,BUG-GUI-005 — https://github.com/ThanhDang-Vn/software-testing/issues/22
GUI-L-014,Login,IA-02,Focus visibility,Every interactive element has visible keyboard focus,"WCAG 2.2 SC 2.1.1, 2.4.3, 2.4.7, 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Login page open; keyboard only,Tab through every control,"PASS if a persistent, high-contrast focus indicator is visible; otherwise FAIL",Passed,Every tested interactive element exposes a focus indicator.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-020,Login,IA-02,Password manager,Controls expose correct autocomplete semantics,"WCAG 2.2 SC 1.3.5, 3.3.8; GOV.UK Text input — https://design-system.service.gov.uk/components/text-input/",Login page open with password manager available,Inspect autocomplete and try saved-credential fill,PASS if email and current password can be filled into the correct fields; otherwise FAIL,Failed,"Autocomplete tokens are [null,null] instead of email/current-password.",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-020.png,BUG-GUI-003 — https://github.com/ThanhDang-Vn/software-testing/issues/20
GUI-L-021,Login,IA-01,Zoom,Form remains usable at 200% browser zoom,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Desktop viewport,Set zoom to 200% and operate form,PASS if no content or focus indicator is clipped; reflow remains usable; otherwise FAIL,Passed,No horizontal clipping detected at 200% page scale.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-023,Login,IA-01,Exploratory — RTL,Layout remains coherent under right-to-left direction,Exploratory — no explicit SUT requirement,Set document direction to RTL,"Inspect order, alignment, clipping, and focus sequence","PASS if no text, control, or focus indicator overlaps or becomes unreachable; otherwise FAIL",Passed,Exploratory RTL run produced no overlap or unreachable controls.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-024A,Login,IA-04,Duplicate submission,Repeated submit shows a clear pending state,Nielsen H1; WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Valid or invalid credentials entered,"Submit once, then immediately double-click the button and press Enter repeatedly",PASS if the submit control visibly indicates a pending state and prevents repeated activation; otherwise FAIL,Failed,Submit remains enabled and shows no pending indicator during repeated activation.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-L-024A.png,BUG-GUI-006 — https://github.com/ThanhDang-Vn/software-testing/issues/23
GUI-O-002A,Order History,IA-01,Required data,"Each visible order row includes ID, date, total, and current status","WCAG 2.2 SC 1.3.1, 2.4.6, 3.3.2; WAI Forms — https://www.w3.org/WAI/tutorials/forms/labels/",Account has at least one order,Inspect every displayed order row,PASS if every row visibly contains all four FR-11 fields; otherwise FAIL,Passed,"5 rows each display ID, date, total, and status.",Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-O-004,Order History,IA-01,Ordering,Newest order is easy to identify,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Account has multiple dated orders,Compare displayed order sequence with dates/IDs,PASS if orders are sorted newest first or sorting is clearly provided; otherwise FAIL,Passed,"Order IDs displayed newest first: 5, 4, 3, 2, 1.",Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-O-005,Order History,IA-01,Currency,Totals use deterministic Vietnamese VND format,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Account has orders with varied totals,Inspect totals across rows and browser locales,PASS if values use Vietnamese thousands separators and ₫ consistently; otherwise FAIL,Failed,"Non-Vietnamese/ambiguous currency format: 550,000 ₫, 450,000 ₫, 350,000 ₫, 250,000 ₫, 150,000 ₫.",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-005.png,BUG-GUI-007 — https://github.com/ThanhDang-Vn/software-testing/issues/24
GUI-O-006,Order History,IA-01,Date format,Dates use an unambiguous Vietnamese format,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Account has orders,Inspect dates across browsers/locales,"PASS if day, month, and year are unambiguous and consistent; otherwise FAIL",Failed,Dates render with browser-default US ordering such as 7/26/2026 instead of deterministic Vietnamese day/month/year formatting.,Observed across all five seeded order rows in Chromium.,failed-screenshots/GUI-O-006.png,BUG-GUI-007 — https://github.com/ThanhDang-Vn/software-testing/issues/24
GUI-O-007,Order History,IA-01,Status translation,All five order states have clear Vietnamese labels,Nielsen H2/H4; WCAG 2.2 SC 3.1.1 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Test data covers pending confirmed shipping delivered canceled,Inspect label for each state,PASS if every backend state maps to the specified Vietnamese meaning; otherwise FAIL,Passed,All five Vietnamese statuses displayed.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-O-008,Order History,IA-01,Status distinction,Order states are visually distinguishable,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Test data covers all states,Compare status badges,PASS if states are consistently distinguishable and remain readable; otherwise FAIL,Passed,Each visible status has readable text and a distinct badge color.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-O-010,Order History,IA-02,Cancel confirmation,Cancel requires explicit confirmation,Nielsen H3/H5; ARIA APG Dialog — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/,Cancelable order exists,Activate Hủy đơn,PASS if a confirmation dialog names the consequence before mutation; otherwise FAIL,Failed,No confirmation dialog; cancel request executes immediately and only a result alert appears.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-010.png,BUG-GUI-008 — https://github.com/ThanhDang-Vn/software-testing/issues/25
GUI-O-011,Order History,IA-02,Cancel keyboard,Cancel action is fully keyboard operable,"WCAG 2.2 SC 2.1.1, 2.4.3, 2.4.7, 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Cancelable order exists; keyboard only,Focus and activate cancel; operate confirmation,PASS if action and dialog work without pointer and focus returns logically; otherwise FAIL,Failed,Keyboard activates cancel but no confirmation dialog exists.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-011.png,BUG-GUI-008 — https://github.com/ThanhDang-Vn/software-testing/issues/25
GUI-O-012,Order History,IA-03,Discoverability,Signed-in user can independently find order history,Nielsen H4/H6; WCAG 2.2 SC 2.4.4 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Logged in on Home,Navigate using visible UI without direct URL,PASS if profile/order history entry is clearly discoverable; otherwise FAIL,Failed,"Only profile greeting ""Chào, Test User"" leads to history; Order History is not named in navigation.",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-012.png,BUG-GUI-009 — https://github.com/ThanhDang-Vn/software-testing/issues/26
GUI-O-013,Order History,IA-03,Active navigation,Navigation indicates the current Profile/History location,Nielsen H4/H6; WCAG 2.2 SC 2.4.4 — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/WCAG22/Understanding/,Open /profile,Inspect navbar state,PASS if current destination is visually and programmatically indicated; otherwise FAIL,Failed,Current Profile/History navigation has no aria-current or active-state marker.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-013.png,BUG-GUI-009 — https://github.com/ThanhDang-Vn/software-testing/issues/26
GUI-O-016,Order History,IA-04,Loading state,Order retrieval shows a clear loading state,Nielsen H1; WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Throttle API response,Open /profile,PASS if a non-blocking loading indicator appears until data resolves; otherwise FAIL,Failed,No loading indicator during a 1.2-second delayed order request.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-016.png,BUG-GUI-010 — https://github.com/ThanhDang-Vn/software-testing/issues/27
GUI-O-018,Order History,IA-01,Color independence,Status meaning does not depend on color alone,"WCAG 2.2 SC 1.4.1, 1.4.3, 1.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/",Orders in all states,Inspect in grayscale and with screen reader,PASS if readable text communicates every state independently of color; otherwise FAIL,Passed,Every status badge includes a Vietnamese text label independent of color.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-O-019,Order History,IA-01,Table semantics,Table headers are associated with their data cells,WCAG 2.2 SC 1.3.1; ARIA APG Table; GOV.UK Table — https://www.w3.org/WAI/ARIA/apg/patterns/table/ | https://design-system.service.gov.uk/components/table/,Populated history,Inspect accessibility tree and navigate by screen reader,"PASS if table has caption/context, column headers, and correct associations; otherwise FAIL",Failed,Table has 5 column headers but 0 caption elements.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-019.png,BUG-GUI-011 — https://github.com/ThanhDang-Vn/software-testing/issues/28
GUI-O-020,Order History,IA-01,Mobile reflow,Order history remains usable at 320 px width,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Populated history; 320×640 viewport,Read all fields and access eligible actions,PASS if table reflows or provides controlled scroll without page-wide clipping; otherwise FAIL,Failed,Order table causes page-wide horizontal clipping at 320 px.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-020.png,BUG-GUI-012 — https://github.com/ThanhDang-Vn/software-testing/issues/29
GUI-O-021,Order History,IA-01,Text scaling,History remains readable at 200% zoom/text scaling,"WCAG 2.2 SC 1.4.4, 1.4.10 — https://www.w3.org/WAI/WCAG22/Understanding/",Populated history,Set zoom/text to 200% and inspect/operate,"PASS if labels, totals, status, and actions remain visible and usable; otherwise FAIL",Failed,Order History clips horizontally at 200% scale.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-021.png,BUG-GUI-012 — https://github.com/ThanhDang-Vn/software-testing/issues/29
GUI-O-022,Order History,IA-04,Usability,Order API failure is distinct from a genuine empty history,Nielsen H1/H4/H8; FR-21–FR-24 — https://www.nngroup.com/articles/ten-usability-heuristics/,Force /api/orders/my-orders failure,Open /profile and retry if offered,PASS if clear error and recovery action appear; empty-state message is not shown; otherwise FAIL,Failed,"API failure is shown as ""Lịch sử đơn hàng"" with no retry action.",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-022.png,BUG-GUI-010 — https://github.com/ThanhDang-Vn/software-testing/issues/27
GUI-O-024A,Order History,IA-04,Cancel feedback,Cancel action shows timely visible success or failure feedback,Nielsen H1; WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.nngroup.com/articles/ten-usability-heuristics/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Cancelable order exists,Perform a cancel action once under success conditions and once under failure conditions,PASS if visible feedback clearly communicates success or failure without ambiguity; otherwise FAIL,Passed,"Visible result alert: ""Hủy đơn thành công!"".",Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-025,Login,IA-02,Error association,Each visible validation error is associated with its input,"WCAG 2.2 SC 1.3.1, 3.3.1; WAI Forms — https://www.w3.org/WAI/tutorials/forms/notifications/",Login page open,Submit each field with invalid or missing input; inspect the accessibility tree and move focus to the field,"PASS if each error is visible, names the affected field, and is programmatically associated with that field; otherwise FAIL",Failed,"No explicit inline error, error summary, aria-invalid, or aria-describedby association is rendered for either required field.",DOM and accessibility-attribute inspection after empty submission.,failed-screenshots/GUI-L-025.png,BUG-GUI-004 — https://github.com/ThanhDang-Vn/software-testing/issues/21
GUI-L-026,Login,IA-04,Dynamic error announcement,A dynamically displayed login error is announced without moving focus unexpectedly,WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.w3.org/WAI/ARIA/apg/patterns/alert/,Screen reader running; credentials produce a visible error,Submit once and listen to the screen reader while observing keyboard focus,PASS if the complete error is announced and focus remains at a logical control; otherwise FAIL,Failed,"The dynamically inserted credential error has no role=alert, aria-live, or equivalent live-region semantics.",DOM inspection after failed credential submission.,failed-screenshots/GUI-L-026.png,BUG-GUI-004 — https://github.com/ThanhDang-Vn/software-testing/issues/21
GUI-L-027,Login,IA-02,Focus not obscured,Focused login controls are not hidden by other content,WCAG 2.2 SC 2.4.11 — https://www.w3.org/WAI/WCAG22/Understanding/,Login page open at desktop and 320 px viewport,Tab through every interactive control at both viewports,PASS if every focused control and its focus indicator remain at least partially visible; otherwise FAIL,Passed,All focused Login controls remain inside the viewport at desktop/mobile sizes.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-028,Login,IA-01,Text spacing,Login content remains readable with WCAG text-spacing overrides,WCAG 2.2 SC 1.4.12 — https://www.w3.org/WAI/WCAG22/Understanding/,Login page open,"Apply line-height 1.5, paragraph spacing 2em, letter spacing 0.12em, and word spacing 0.16em","PASS if no label, link, input value, error, or button text is clipped or overlaps; otherwise FAIL",Passed,No horizontal overflow with WCAG text-spacing overrides.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-029,Login,IA-01,Orientation,Login is usable in portrait and landscape orientation,WCAG 2.2 SC 1.3.4 — https://www.w3.org/WAI/WCAG22/Understanding/,Mobile device or equivalent viewport,"Open the page in portrait, rotate to landscape, and complete all form interactions",PASS if the same controls and content remain available and usable in both orientations; otherwise FAIL,Passed,All Login controls remained available in portrait 390×844 and landscape 844×390.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-L-030,Login,IA-01,Exploratory — dark mode,Login remains readable when browser or OS dark mode is forced,Exploratory — no explicit SUT requirement,Browser or OS forced dark mode available,"Enable forced dark mode; inspect normal, focused, and error states","PASS if all text, controls, focus indicators, and errors remain visible and distinguishable; otherwise FAIL",Passed,Exploratory dark preference run retained visible Login content and controls.,Observed during automated Playwright execution; see linked failure screenshot.,,
GUI-O-025,Order History,IA-01,Table caption,Order table has a programmatically associated descriptive caption,WCAG 2.2 SC 1.3.1; GOV.UK Table — https://design-system.service.gov.uk/components/table/,Order History contains at least one order,Inspect the table accessibility tree and navigate to the table with a screen reader,PASS if the table exposes a concise accessible caption identifying it as order history; otherwise FAIL,Failed,The Order History table has no caption and exposes no dedicated accessible table name.,DOM/table semantic inspection.,failed-screenshots/GUI-O-025.png,BUG-GUI-011 — https://github.com/ThanhDang-Vn/software-testing/issues/28
GUI-O-026,Order History,IA-01,Reading order,Order information has a logical reading order at desktop and mobile widths,WCAG 2.2 SC 1.3.2 — https://www.w3.org/WAI/WCAG22/Understanding/,Order History contains multiple rows,"Read the table with a screen reader at desktop width, then at 320 px width",PASS if each row is announced in the visible column order without detached or repeated values; otherwise FAIL,Blocked,Requires a real screen-reader reading-order check at desktop and mobile widths.,Requires manual assistive-technology or OS-level execution.,,
GUI-O-027,Order History,IA-02,Dialog focus management,Cancel confirmation keeps keyboard focus within the modal until it closes,ARIA APG Dialog — https://www.w3.org/WAI/ARIA/apg/patterns/dialog-modal/,A visible cancel control opens a modal confirmation,Open the dialog by keyboard; press Tab and Shift+Tab through controls; close with each available method,"PASS if focus enters the dialog, cycles within it, and returns to the invoking control after close; otherwise FAIL",Failed,"No cancel confirmation dialog exists, so dialog focus containment/return cannot be satisfied.",Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-027.png,BUG-GUI-008 — https://github.com/ThanhDang-Vn/software-testing/issues/25
GUI-O-028,Order History,IA-01,Localized table scrolling,A wide order table does not cause page-wide horizontal scrolling,WCAG 2.2 SC 1.4.10; GOV.UK Table — https://www.w3.org/WAI/WCAG22/Understanding/ | https://design-system.service.gov.uk/components/table/,Order History populated; viewport 320 CSS px,Scroll vertically and horizontally through the page and table region,PASS if any required horizontal scrolling is confined to the table region and surrounding page content reflows; otherwise FAIL,Failed,Wide table has no localized horizontal-scroll container.,Observed during automated Playwright execution; see linked failure screenshot.,failed-screenshots/GUI-O-028.png,BUG-GUI-012 — https://github.com/ThanhDang-Vn/software-testing/issues/29
GUI-O-029,Order History,IA-04,Status announcement,A visible order-state change is announced to assistive technology,WCAG 2.2 SC 4.1.3; ARIA APG Alert — https://www.w3.org/WAI/WCAG22/Understanding/ | https://www.w3.org/WAI/ARIA/apg/patterns/alert/,An action causes a visible order-state update,Trigger the action once while a screen reader is running,PASS if the updated state or confirmation is announced without requiring focus movement; otherwise FAIL,Blocked,Requires a real screen-reader status-message announcement check.,Requires manual assistive-technology or OS-level execution.,,
