"ID","origin","technique","requirement/SEC reference","title","priority","preconditions","test data","request","execution steps","expected status","expected headers/schema/body","expected side effect","cleanup","actual result","PASS/FAIL","AI audit verdict","audit reasoning","bug ID","evidence link"
"PRD-AI-011","AI-generated","EP whitespace","FR-15","Reject whitespace-only product name","P1","Admin JWT valid; category exists","name=""   ""; remaining fields valid","POST /api/products","Send; inspect error; query exact marker/row count","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-012","AI-generated","BVA minimum non-empty","FR-15","Accept one-character product name","P1","Admin JWT valid; category exists; name X absent or identified by run marker","name=X,price=1,category_id=1; optional fields valid","POST /api/products","Send; capture id; GET detail; compare exact name","200","JSON exact success schema","Exactly one product created with one-character name","Delete returned ID","Not executed","","","","",""
"PRD-AI-013","AI-generated","BVA max-1","FR-15","Accept product name of 254 characters","P1","Admin JWT valid; category exists; generated name unique","name='A' repeated 254; valid price/category","POST /api/products","Assert generated length=254; send; retrieve and compare length/content","200","JSON exact success schema","One product created; persisted name length 254","Delete returned ID","Not executed","","","","",""
"PRD-AI-014","AI-generated","BVA maximum","FR-15","Accept product name of exactly 255 characters","P0","Admin JWT valid; category exists; generated name unique","name='B' repeated 255; valid price/category","POST /api/products","Assert length=255; send; retrieve and compare","200","JSON exact success schema","One product created; persisted name length 255","Delete returned ID","Not executed","","","","",""
"PRD-AI-015","AI-generated","BVA max+1","FR-15","Reject product name of 256 characters","P0","Admin JWT valid; category exists; generated marker absent","name='C' repeated 256; valid price/category","POST /api/products","Assert length=256; send; verify absence","400","JSON error only; no id","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-016","AI-generated","EP Unicode","FR-15, SEC-04","Accept valid Unicode product name without corruption","P1","Admin JWT valid; category exists","name=Điện thoại thử nghiệm 🌱; valid other fields","POST /api/products","Send; retrieve by id; compare Unicode code points; inspect rendering safely","200","JSON exact success schema","One product created; Unicode round-trips unchanged and UI escapes it","Delete returned ID","Not executed","","","","",""
"PRD-AI-017","AI-generated","SEC-05 parameterization","SEC-05, FR-15","Treat SQL-injection-shaped product name as literal data","P0","Admin JWT valid; seed products counted; category exists","name=""Phone'); DROP TABLE products;--""; valid price/category","POST /api/products","Send; retrieve created row; query seed products/categories; verify service","200","JSON exact success schema; no SQL error/detail","One literal-name product created; no table/query expansion or unrelated mutation","Delete returned ID","Not executed","","","","",""
"PRD-AI-018","AI-generated","Stored-XSS candidate","SEC-04, FR-15","Persist XSS marker only if every UI sink renders it safely","P0","Admin JWT valid; storefront/admin UI available","name=<img src=x onerror=alert(1)>; description=<svg onload=alert(1)>; valid price/category","POST /api/products","Send; retrieve; open all rendering surfaces; inspect DOM and execution","200","JSON exact success schema; payload not reflected unnecessarily","One product may persist; payload must never execute or become unsafe DOM","Delete returned ID","Not executed","","","","",""
"PRD-AI-019","AI-generated","Required-field omission","FR-15","Reject missing price","P0","Admin JWT valid; category exists; unique marker absent","name valid; price omitted; category_id=1","POST /api/products","Send; inspect error; verify marker absent","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-020","AI-generated","EP null","FR-15","Reject null price","P0","Admin JWT valid; category exists","price=null; remaining required fields valid","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-021","AI-generated","EP type","FR-15","Reject numeric-looking string price","P0","Admin JWT valid; category exists","price=""100000""","POST /api/products","Send; assert strict number type; verify no coercion","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-022","AI-generated","BVA zero","FR-15","Reject price equal to zero","P0","Admin JWT valid; category exists","price=0","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-023","AI-generated","BVA below zero","FR-15","Reject negative price","P0","Admin JWT valid; category exists","price=-0.01","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-024","AI-generated","BVA smallest representative positive","FR-15","Accept a finite positive fractional price","P1","Admin JWT valid; category exists; currency precision rule not specified","price=0.01","POST /api/products","Send; retrieve; compare numeric value without inventing integer-only rule","200","JSON exact success schema","One product created with finite price >0","Delete returned ID","Not executed","","","","",""
"PRD-AI-025","AI-generated","EP positive integer","FR-15","Accept ordinary positive integer price","P1","Admin JWT valid; category exists","price=25000000","POST /api/products","Send; retrieve; assert price remains numeric and exact","200","JSON exact success schema","One product created; retrieved price is number 25000000","Delete returned ID","Not executed","","","","",""
"PRD-AI-026","AI-generated","EP large finite number","FR-15","Accept large finite positive price without overflow or type change","P1","Admin JWT valid; category exists; no maximum specified","price=2147483647","POST /api/products","Send; retrieve; compare exact numeric value/type","200","JSON exact success schema","One product created; no overflow/wrap/type conversion","Delete returned ID","Not executed","","","","",""
"PRD-AI-027","AI-generated","EP invalid scalar type","FR-15","Reject boolean price","P1","Admin JWT valid; category exists","price=true","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created or boolean-to-number coercion","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-028","AI-generated","Required-field omission","FR-15","Reject missing category_id","P0","Admin JWT valid; unique marker absent","valid name/price; category_id omitted","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-029","AI-generated","EP null","FR-15","Reject null category_id","P0","Admin JWT valid","category_id=null; other fields valid","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-030","AI-generated","EP type","FR-15","Reject string category_id","P1","Admin JWT valid; category 1 exists","category_id=""1""","POST /api/products","Send; assert strict integer type; verify absence","400","JSON error only","No product created or type coercion","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-031","AI-generated","BVA invalid identifier","FR-15","Reject non-positive category_id","P0","Admin JWT valid","category_id=0","POST /api/products","Send; inspect error; verify absence","400","JSON error only","No product created","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-032","AI-generated","Referential integrity","FR-15","Reject positive category_id that does not exist","P0","Admin JWT valid; confirm category 999999 absent","category_id=999999","POST /api/products","Send; inspect error; verify marker absent/category unchanged","400 or 422 (spec gap)","JSON error only","No product created and no category created implicitly","Delete unexpected ID/reset","Not executed","","","","",""
"PRD-AI-033","AI-generated","Valid reference partition","FR-15","Create product under an existing non-default category","P1","Admin JWT valid; category 2 confirmed by GET /api/categories","category_id=2; valid unique name/price","POST /api/products","Send; capture id; GET detail; compare category_id=2","200","JSON exact success schema","One product created referencing existing category 2; category unchanged","Delete returned ID","Not executed","","","","",""
"PRD-AI-034","AI-generated","Optional-field omission","FR-15","Create product with description omitted","P1","Admin JWT valid; category exists","name/price/imageUrl/category_id valid; description omitted","POST /api/products","Send; retrieve; verify required fields and documented optional representation","200","JSON exact success schema","One product created; no unrelated defaults/control fields injected","Delete returned ID","Not executed","","","","",""
"PRD-AI-035","AI-generated","Optional-field omission","FR-15","Create product with imageUrl omitted","P1","Admin JWT valid; category exists","name/price/description/category_id valid; imageUrl omitted","POST /api/products","Send; retrieve; verify required fields and optional representation","200","JSON exact success schema","One product created without requiring imageUrl","Delete returned ID","Not executed","","","","",""
"PRD-AI-036","AI-generated","Optional combination","FR-15","Create product with both optional fields unspecified","P1","Admin JWT valid; category exists","name/price/category_id only","POST /api/products","Send; retrieve; assert absence/null policy consistently and exact create response","200","JSON exact success schema","One product created from required fields only","Delete returned ID","Not executed","","","","",""
"PRD-AI-037","AI-generated","Mass assignment / unexpected fields","FR-12, SEC-03, FR-15","Prevent unexpected ownership privilege and server-owned fields from being assigned","P0","Admin JWT valid; category exists","Valid body plus id=1,user_id=2,owner_id=2,role=admin,is_admin=true,created_by=2,created_at=fake","POST /api/products","Send; capture/retrieve if accepted; inspect unrelated product id 1 and returned record","200 if unknown fields ignored; 400 if strict schema rejects","If accepted exact {message,id}; no privilege/owner/timestamp fields echoed","At most one server-ID product; injected fields have no effect; product 1/user/category unchanged","Delete returned ID/reset","Not executed","","","","",""
"PRD-AI-038","AI-generated","Malformed request / empty body","FR-15","Reject empty JSON request body without persistence","P0","Admin JWT valid; product count baseline known","Empty body with Content-Type application/json","POST /api/products","Send; inspect full response; compare product count","400","Safe JSON error only; no id/stack/path/SQL","No product created","None/reset if dirty","Not executed","","","","",""
"PRD-AI-039","AI-generated","Malformed JSON","FR-15","Reject truncated product JSON safely","P0","Admin JWT valid; product count baseline known","raw body={""name"":""HW06"",""price"":","POST /api/products application/json","Send raw bytes; inspect headers/body; issue health read afterward","400","Safe structured JSON error; no HTML stack,source path,SQL or success fields","No product created; service remains available","None","Not executed","","","","",""
"PRD-AI-040","AI-generated","Top-level schema","FR-15","Reject top-level JSON array instead of product object","P1","Admin JWT valid; product count baseline known","[{""name"":""HW06"",""price"":1,""category_id"":1}]","POST /api/products application/json","Send array; inspect exact error; compare product state","400","application/json error only; no success/internal fields","No product created","None/reset if dirty","Not executed","","","","",""
