"ID","origin","technique","requirement/SEC reference","title","priority","preconditions","test data","request","execution steps","expected status","expected headers/schema/body","expected side effect","cleanup","actual result","PASS/FAIL","AI audit verdict","audit reasoning","bug ID","evidence link"
"CPN-AI-016","AI-generated","Calculation fractional result","FR-09 formula","Preserve mathematically correct percent result when amount produces fraction","P1","SAVE10 eligible; no rounding policy in spec","total_amount=333333","POST apply SAVE10","Send; compute 33333.3 and 299999.7; do not invent rounding","200","JSON success; discount_amount=33333.3; final_amount=299999.7","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-017","AI-generated","Calculation EP fixed","FR-09 formula","Apply fixed discount independent of amount magnitude","P0","BIGBUY eligible; authenticated user; usage 0","total_amount=900000","POST apply BIGBUY","Send; compare fixed value and subtraction","200","JSON success; discount_amount=50000; final_amount=850000","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-018","AI-generated","Calculation second fixed coupon","FR-09 formula","Apply VIP100 fixed value and preserve coupon identity","P1","VIP100 eligible; usage 0 of max 2","code=VIP100,total_amount=400000,user_id=2","POST apply VIP100","Send; assert coupon_id/formula/schema","200","JSON success; discount_amount=100000; final_amount=300000; correct VIP100 coupon_id","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-019","AI-generated","Temporal BVA","FR-09 C2","Reject coupon exactly at expiration instant","P1","Test coupon active; expired_at fixed equal to controlled server clock; user eligible","code=HW06_EXPIRY_EDGE,total above minimum,user_id=2","POST /api/apply-coupon under controlled clock","Set fixture/clock; send at equality; inspect error; verify no usage","400","JSON expired error only","No usage; coupon lifecycle remains expired","Remove fixture/reset/restore clock","Not executed","","","","",""
"CPN-AI-020","AI-generated","State transition","FR-09 C5","Do not record usage from apply preview alone","P0","SAVE10 usage 0; authenticated user","Apply SAVE10 twice without POST /api/coupon-usage","POST /api/apply-coupon twice","Send first; send second; both calculate; inspect controlled usage count","200 for both","Both responses exact success schema and same deterministic calculation","Usage stays 0 because checkout usage was not recorded","Reset SQLite","Not executed","","","","",""
"CPN-AI-021","AI-generated","State BVA max-1","FR-09 C5","Allow VIP100 when usage count is one below maximum","P0","VIP100 max=2; user 2 usage count=1","code=VIP100,total_amount=400000,user_id=2","POST /api/apply-coupon with user JWT","Send; assert success; ensure apply alone does not increment","200","JSON exact success schema; fixed calculation 100000/300000","Usage remains 1 until explicit record endpoint","Reset SQLite","Not executed","","","","",""
"CPN-AI-022","AI-generated","State transition to max","FR-09 C5","Reject apply immediately after usage transitions from max-minus-one to max","P0","VIP100 count=1=max-1; user JWT valid; record one successful checkout usage in setup so count becomes max=2","code=VIP100,total_amount=400000,user_id=2","POST /api/apply-coupon after setup calls POST /api/coupon-usage once","Record the second usage as setup; send apply; assert limit rejection and count remains 2","400 or 409 (spec gap)","JSON error only; no success/calculation fields","Usage transitions from 1 to 2 exactly once","Reset SQLite","Not executed","","","","",""
"CPN-AI-023","AI-generated","State partition by coupon","FR-09 C5","Keep usage limits isolated between different coupons","P0","User 2 reached SAVE10 max; BIGBUY usage remains 0; JWT valid","code=BIGBUY,total_amount=600000,user_id=2","POST /api/apply-coupon","Send; assert SAVE10 state does not block BIGBUY; inspect both usage states","200","JSON exact success schema; discount_amount=50000; final_amount=550000","SAVE10 stays at max; BIGBUY usage remains 0 until explicitly recorded","Reset SQLite","Not executed","","","","",""
"CPN-AI-024","AI-generated","State partition by identity","FR-09 C5, SEC-02","Keep usage limits isolated between authenticated users","P0","User A at SAVE10 max; user B usage 0; separate valid JWTs","Apply SAVE10 as user B with B identity","POST /api/apply-coupon using user B JWT","Send; ensure A state does not block B; verify both counts","200","JSON exact success schema","A usage unchanged at max; B usage unchanged until recorded","Reset SQLite","Not executed","","","","",""
"CPN-AI-025","AI-generated","Required identity field / IDOR","FR-09 C4-C5, SEC-02","Reject or safely derive identity when user_id is omitted","P0","Authenticated user 2; SAVE10 eligible","code=SAVE10,total_amount=500000; user_id omitted","POST /api/apply-coupon with user JWT","Send; verify limit check cannot be skipped; inspect usage","400 if body field remains required, or 200 only if identity is securely derived from JWT (spec gap)","JSON success/error schema matching chosen contract; never bypass usage","No usage mutation; request cannot escape user 2 limit","Reset SQLite","Not executed","","","","",""
"CPN-AI-026","AI-generated","IDOR / identity mismatch","FR-09 C4-C5, SEC-02","Reject user_id that does not match JWT subject","P0","JWT subject user 2; victim user 1 exists; known separate usage","body user_id=1 with user 2 JWT","POST /api/apply-coupon","Send; inspect response; verify neither victim state nor limit is consumed/bypassed","400 or 403 (spec gap)","JSON error only; no victim/coupon internals","No usage change for either user","Reset SQLite","Not executed","","","","",""
"CPN-AI-027","AI-generated","EP type / identity","FR-09 C4-C5","Reject string user_id","P1","Authenticated user; eligible coupon","user_id=""2""","POST /api/apply-coupon","Send; assert strict type and no usage bypass","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-028","AI-generated","BVA invalid identity","FR-09 C4-C5","Reject negative user_id","P1","Authenticated user; eligible coupon","user_id=-1","POST /api/apply-coupon","Send; assert invalid identity; verify no usage","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-029","AI-generated","Authentication negative","SEC-02, FR-09 C4","Reject malformed or invalid-signature JWT","P0","Eligible coupon; token is JWT-shaped but signature invalid","valid body; Authorization Bearer malformed.jwt.signature","POST /api/apply-coupon","Send; verify auth rejection precedes business response","403 or 401 per standardized auth policy","JSON auth error only; no coupon details","No usage/coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-030","AI-generated","Authentication temporal BVA","SEC-02, FR-09 C4","Reject correctly signed expired JWT","P0","Test JWT valid signature with exp in past; coupon eligible","valid body; expired bearer JWT","POST /api/apply-coupon","Generate controlled expired token; send; verify no calculation","403 or 401 per standardized auth policy","JSON auth error only","No usage/coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-031","AI-generated","Authentication scheme EP","SEC-02, FR-09 C4","Reject valid JWT sent with wrong authorization scheme","P1","Valid user JWT; coupon eligible","Authorization: Token <JWT>","POST /api/apply-coupon","Send; inspect auth response and state","401","JSON auth error only","No usage/coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-032","AI-generated","Role/condition independence","FR-09 C1-C5","Do not let admin role bypass coupon eligibility rules","P1","Admin JWT valid; EXPIRED coupon or below-min request","code=EXPIRED,total_amount=200000,user_id=1","POST /api/apply-coupon with admin JWT","Send; assert admin still subject to expiry and formula rules","400","JSON expired error only; no admin internals","No usage/coupon mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-033","AI-generated","Required-field omission","FR-09 C1","Reject missing coupon code","P0","Authenticated user; known amount","total_amount=500000,user_id=2; code omitted","POST /api/apply-coupon","Send; inspect exact error; verify no usage","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-034","AI-generated","BVA empty string","FR-09 C1","Reject empty coupon code","P1","Authenticated user","code="""",total_amount=500000,user_id=2","POST /api/apply-coupon","Send; inspect validation response","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-035","AI-generated","Required-field omission","FR-09 C3","Reject missing total_amount","P0","Authenticated user; SAVE10 active; usage 0","code=SAVE10,user_id=2; total_amount omitted","POST /api/apply-coupon","Send; assert validation before calculation; verify no usage","400","JSON error only; no NaN/null calculation fields","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-036","AI-generated","EP null/type","FR-09 C3","Reject null total_amount","P0","Authenticated user; active coupon","total_amount=null","POST /api/apply-coupon","Send; inspect schema; verify no usage","400","JSON error only","No usage mutation","Reset SQLite","Not executed","","","","",""
"CPN-AI-037","AI-generated","BVA invalid amount","FR-09 C3","Reject negative total_amount","P0","Authenticated user; active coupon","total_amount=-1","POST /api/apply-coupon","Send; inspect validation response and state","400","JSON error only","No usage mutation and no negative financial result","Reset SQLite","Not executed","","","","",""
"CPN-AI-038","AI-generated","Malformed JSON","FR-09","Reject truncated JSON safely","P0","Authenticated user; usage baseline known","raw body={""code"":""SAVE10"",""total_amount"":","POST /api/apply-coupon application/json","Send raw bytes; inspect full error/content type; verify service and usage","400","Safe JSON error; no HTML stack,path,SQL or success fields","No usage/coupon mutation; service remains available","None/reset if dirty","Not executed","","","","",""
"CPN-AI-039","AI-generated","Mass assignment / unexpected fields","FR-09, SEC-02","Prevent client override of persisted coupon controls and calculated outputs","P0","SAVE10 eligible; authenticated user","valid fields plus coupon_id=999,type=fixed,discount_value=999999,is_active=0,min_order_amount=0,usage_count=0,final_amount=1","POST /api/apply-coupon","Send; compare result to persisted SAVE10 metadata; inspect coupon state","200 if unknown fields ignored; 400 if strict schema rejects","If accepted exact success schema uses server coupon/formula; never echoes control fields","No coupon metadata/usage mutation; client fields have no effect","Reset SQLite","Not executed","","","","",""
"CPN-AI-040","AI-generated","Top-level schema","FR-09","Reject top-level JSON array instead of request object","P1","Authenticated user; usage baseline known","[{""code"":""SAVE10"",""total_amount"":500000,""user_id"":2}]","POST /api/apply-coupon application/json","Send array; inspect exact error; verify state","400","application/json error only; no success/internal fields","No usage/coupon mutation","Reset SQLite","Not executed","","","","",""
